Opp K%,K Per Game,CSW%,Last 3 Average,Results
0.268,4.900,0.287,6.000,7
0.268,1.000,0.250,1.000,3
0.254,4.300,0.279,5.667,8
0.249,4.300,0.335,6.333,5
0.247,2.200,0.351,3.000,4
0.247,1.200,0.278,1.667,4
0.244,4.700,0.280,4.667,3
0.243,3.200,0.264,3.667,0
0.240,7.600,0.316,7.000,8
0.240,5.500,0.294,5.667,6
0.239,4.600,0.282,4.000,2
0.237,3.800,0.272,4.000,3
0.236,4.800,0.289,6.000,9
0.236,1.400,0.347,1.000,8
0.224,3.800,0.251,2.333,2
0.223,3.700,0.242,1.333,2
0.222,3.000,0.257,3.000,4
0.220,1.000,0.228,1.000,4
0.216,4.600,0.282,3.333,4
0.214,2.700,0.310,4.667,3
0.213,4.100,0.282,3.667,9
0.212,4.300,0.293,5.667,8
0.205,3.400,0.276,4.333,3
0.204,3.400,0.268,3.667,4
0.193,3.300,0.274,0.667,6
0.268,5.500,0.303,7.667,8
0.268,5.300,0.299,5.333,9
0.254,3.400,0.280,4.000,4
0.249,5.800,0.283,4.000,4
0.247,3.900,0.252,3.000,7
0.247,2.700,0.246,2.667,4
0.243,5.800,0.315,4.333,10
0.240,6.800,0.301,6.333,7
0.236,5.400,0.289,4.333,4
0.224,5.800,0.283,6.000,7
0.223,4.800,0.270,6.333,1
0.220,5.200,0.268,4.000,4
0.214,6.900,0.327,4.667,5
0.212,5.100,0.298,3.667,2
0.205,5.600,0.287,4.000,3
0.201,4.500,0.276,4.000,1
0.193,5.700,0.287,6.000,6
0.176,5.700,0.298,4.000,1
0.268,3.900,0.273,4.000,4
0.268,4.900,0.277,6.333,7
0.254,3.300,0.293,3.333,3
0.247,3.400,0.254,3.000,4
0.247,2.300,0.239,2.333,0
0.244,4.400,0.271,3.667,5
0.240,3.100,0.243,3.000,3
0.240,5.800,0.302,5.000,1
0.239,4.400,0.275,6.000,5
0.237,4.000,0.260,5.667,5
0.236,5.700,0.287,7.333,4
0.236,3.500,0.262,2.667,4
0.224,5.900,0.302,4.333,5
0.223,5.800,0.301,8.333,5
0.222,4.700,0.275,3.667,2
0.220,4.400,0.300,5.333,1
0.216,6.400,0.306,5.667,5
0.214,4.600,0.290,3.000,5
0.213,5.000,0.259,5.333,2
0.212,5.700,0.282,6.333,2
0.212,4.000,0.267,5.000,3
0.205,5.100,0.282,5.667,6
0.204,4.800,0.295,3.000,11
0.202,5.500,0.291,4.000,4
0.201,6.000,0.286,6.333,4
0.194,4.900,0.273,5.000,2
0.193,4.100,0.263,4.333,4
0.176,6.000,0.307,4.667,4
0.268,3.500,0.266,2.333,6
0.249,5.600,0.293,3.333,6
0.247,4.900,0.273,6.333,10
0.244,5.700,0.296,5.333,8
0.243,6.700,0.312,7.333,10
0.240,2.400,0.302,3.000,6
0.239,4.200,0.266,3.667,5
0.237,1.300,0.276,1.000,4
0.236,9.000,0.329,9.000,8
0.236,3.700,0.267,2.000,7
0.223,5.200,0.258,5.667,6
0.216,3.000,0.271,3.667,4
0.214,7.800,0.334,6.333,5
0.212,3.600,0.275,2.000,5
0.212,5.700,0.296,8.000,8
0.205,4.500,0.264,5.333,4
0.204,4.800,0.287,4.667,8
0.202,6.500,0.326,5.333,11
0.201,4.800,0.299,4.000,4
0.193,5.200,0.294,5.000,6
0.176,1.800,0.243,4.000,1
0.268,7.000,0.285,8.333,10
0.268,7.400,0.340,6.667,8
0.254,4.800,0.289,3.000,5
0.249,4.500,0.276,4.000,7
0.247,5.500,0.303,7.667,3
0.247,7.400,0.305,6.333,6
0.244,3.400,0.280,4.000,6
0.243,5.800,0.283,4.000,5
0.240,7.200,0.338,9.667,2
0.240,6.000,0.306,4.667,9
0.239,6.200,0.288,5.000,5
0.237,7.200,0.322,8.000,9
0.236,7.000,0.301,6.333,10
0.236,1.000,0.334,0.667,6
0.224,2.700,0.246,2.667,6
0.223,5.300,0.299,5.333,3
0.222,3.900,0.252,3.000,3
0.220,6.500,0.321,6.000,8
0.216,6.400,0.309,7.667,6
0.214,4.600,0.293,7.333,3
0.213,5.500,0.275,6.333,1
0.212,6.500,0.287,5.000,8
0.212,5.600,0.293,7.667,13
0.205,5.700,0.281,7.667,5
0.204,1.200,0.203,0.667,3
0.202,6.800,0.301,6.333,7
0.201,6.100,0.293,4.667,5
0.194,6.200,0.285,7.000,8
0.193,2.000,0.314,3.667,8
0.176,4.100,0.275,2.667,4
0.268,3.100,0.254,1.000,4
0.254,5.600,0.287,4.000,10
0.244,5.700,0.282,6.333,6
0.236,5.800,0.302,5.000,4
0.222,2.300,0.239,2.333,3
0.220,5.100,0.298,3.667,6
0.213,5.800,0.283,6.000,8
0.212,4.800,0.270,6.333,2
0.201,4.200,0.271,5.000,5
0.193,6.400,0.306,5.667,6